Year,Age_Group,Category,Visits_Thousands,Visits_Millions
2001,45-54 years,Physician offices,141598.0,141.598
2002,45-54 years,Physician offices,145767.0,145.767
2003,45-54 years,Physician offices,138634.0,138.634
2004,45-54 years,Physician offices,135082.0,135.082
2005,45-54 years,Physician offices,145034.0,145.034
2006,45-54 years,Physician offices,133402.0,133.402
2007,45-54 years,Physician offices,141478.0,141.478
2008,45-54 years,Physician offices,137776.0,137.776
2009,45-54 years,Physician offices,158120.0,158.12
2010,45-54 years,Physician offices,140819.0,140.819
2011,45-54 years,Physician offices,136429.0,136.429
2012,45-54 years,Physician offices,129816.0,129.816
2013,45-54 years,Physician offices,131013.0,131.013
2014,45-54 years,Physician offices,124449.0,124.449
2015,45-54 years,Physician offices,142016.0,142.016
2016,45-54 years,Physician offices,113724.0,113.724
2018,45-54 years,Physician offices,111899.0,111.899
2000,55-64 years,Physician offices,97309.0,97.309
2001,55-64 years,Physician offices,118120.0,118.12
2002,55-64 years,Physician offices,121482.0,121.482
2003,55-64 years,Physician offices,118624.0,118.624
2004,55-64 years,Physician offices,129020.0,129.02
2005,55-64 years,Physician offices,138146.0,138.146
2006,55-64 years,Physician offices,123092.0,123.092
2007,55-64 years,Physician offices,142412.0,142.412
2008,55-64 years,Physician offices,146335.0,146.335
2009,55-64 years,Physician offices,158275.0,158.275
2010,55-64 years,Physician offices,155566.0,155.566
2011,55-64 years,Physician offices,149355.0,149.355
2012,55-64 years,Physician offices,145491.0,145.491
2013,55-64 years,Physician offices,151096.0,151.096
2014,55-64 years,Physician offices,148974.0,148.974
2015,55-64 years,Physician offices,163055.0,163.055
2016,55-64 years,Physician offices,138313.0,138.313
2018,55-64 years,Physician offices,139589.0,139.589
2000,65 years and over,Physician offices,200289.0,200.289
2001,65 years and over,Physician offices,250269.0,250.269
2002,65 years and over,Physician offices,244451.0,244.451
2003,65 years and over,Physician offices,227520.0,227.52
2004,65 years and over,Physician offices,233991.0,233.991
2005,65 years and over,Physician offices,247683.0,247.683
2006,65 years and over,Physician offices,229837.0,229.837
2007,65 years and over,Physician offices,258214.0,258.214
2008,65 years and over,Physician offices,256135.0,256.135
2009,65 years and over,Physician offices,279514.0,279.514
2010,65 years and over,Physician offices,258976.0,258.976
2011,65 years and over,Physician offices,255736.0,255.736
2012,65 years and over,Physician offices,247634.0,247.634
2013,65 years and over,Physician offices,265195.0,265.195
2014,65 years and over,Physician offices,264518.0,264.518
2015,65 years and over,Physician offices,305670.0,305.67
2016,65 years and over,Physician offices,239016.0,239.016
2018,65 years and over,Physician offices,281444.0,281.444
2000,65-74 years,Physician offices,102447.0,102.447
2001,65-74 years,Physician offices,122970.0,122.97
2002,65-74 years,Physician offices,118971.0,118.971
2003,65-74 years,Physician offices,106424.0,106.424
2004,65-74 years,Physician offices,113426.0,113.426
2005,65-74 years,Physician offices,119061.0,119.061
2006,65-74 years,Physician offices,108063.0,108.063
2007,65-74 years,Physician offices,127805.0,127.805
2008,65-74 years,Physician offices,127125.0,127.125
2009,65-74 years,Physician offices,137452.0,137.452
2010,65-74 years,Physician offices,132201.0,132.201
2011,65-74 years,Physician offices,131233.0,131.233
2012,65-74 years,Physician offices,126436.0,126.436
2013,65-74 years,Physician offices,141507.0,141.507
2014,65-74 years,Physician offices,143355.0,143.355
2015,65-74 years,Physician offices,159752.0,159.752
2016,65-74 years,Physician offices,132148.0,132.148
2018,65-74 years,Physician offices,147017.0,147.017
2000,75 years and over,Physician offices,97842.0,97.842
2001,75 years and over,Physician offices,127299.0,127.299
2002,75 years and over,Physician offices,125479.0,125.479
2003,75 years and over,Physician offices,121096.0,121.096
2004,75 years and over,Physician offices,120565.0,120.565
2005,75 years and over,Physician offices,128623.0,128.623
2006,75 years and over,Physician offices,121774.0,121.774
2007,75 years and over,Physician offices,130409.0,130.409
2008,75 years and over,Physician offices,129010.0,129.01
2009,75 years and over,Physician offices,142062.0,142.062
2010,75 years and over,Physician offices,126775.0,126.775
2011,75 years and over,Physician offices,124503.0,124.503
2012,75 years and over,Physician offices,121197.0,121.197
2013,75 years and over,Physician offices,123688.0,123.688
2014,75 years and over,Physician offices,121164.0,121.164
2015,75 years and over,Physician offices,145918.0,145.918
2016,75 years and over,Physician offices,106868.0,106.868
2018,75 years and over,Physician offices,134427.0,134.427
2000,All ages,Physician offices,304.0,0.304
2001,All ages,Physician offices,342.0,0.342
2002,All ages,Physician offices,342.0,0.342
2003,All ages,Physician offices,317.0,0.317
2004,All ages,Physician offices,315.0,0.315
2005,All ages,Physician offices,329.0,0.329
2006,All ages,Physician offices,305.0,0.305
2007,All ages,Physician offices,332.0,0.332
2008,All ages,Physician offices,315.0,0.315
2009,All ages,Physician offices,337.0,0.337
2010,All ages,Physician offices,325.0,0.325
2011,All ages,Physician offices,314.0,0.314
2012,All ages,Physician offices,292.0,0.292
2013,All ages,Physician offices,285.0,0.285
2014,All ages,Physician offices,268.0,0.268
2015,All ages,Physician offices,297.0,0.297
2016,All ages,Physician offices,267.0,0.267
2018,All ages,Physician offices,250.0,0.25
2000,All ages,Physician offices,261.0,0.261
2001,All ages,Physician offices,294.0,0.294
2002,All ages,Physician offices,293.0,0.293
2003,All ages,Physician offices,273.0,0.273
2004,All ages,Physician offices,274.0,0.274
2005,All ages,Physician offices,289.0,0.289
2006,All ages,Physician offices,262.0,0.262
2007,All ages,Physician offices,290.0,0.29
2008,All ages,Physician offices,265.0,0.265
2009,All ages,Physician offices,290.0,0.29
2010,All ages,Physician offices,283.0,0.283
2011,All ages,Physician offices,280.0,0.28
2012,All ages,Physician offices,254.0,0.254
2013,All ages,Physician offices,250.0,0.25
2014,All ages,Physician offices,238.0,0.238
2015,All ages,Physician offices,252.0,0.252
2016,All ages,Physician offices,230.0,0.23
2018,All ages,Physician offices,214.0,0.214
2000,All ages,Physician offices,345.0,0.345
2001,All ages,Physician offices,388.0,0.388
2002,All ages,Physician offices,388.0,0.388
2003,All ages,Physician offices,360.0,0.36
2004,All ages,Physician offices,355.0,0.355
2005,All ages,Physician offices,367.0,0.367
2006,All ages,Physician offices,346.0,0.346
2007,All ages,Physician offices,374.0,0.374
2008,All ages,Physician offices,363.0,0.363
2009,All ages,Physician offices,383.0,0.383
2010,All ages,Physician offices,367.0,0.367
2011,All ages,Physician offices,348.0,0.348
2012,All ages,Physician offices,328.0,0.328
2013,All ages,Physician offices,318.0,0.318
2014,All ages,Physician offices,298.0,0.298
2015,All ages,Physician offices,342.0,0.342
2016,All ages,Physician offices,301.0,0.301
2018,All ages,Physician offices,286.0,0.286
2000,All ages,Physician offices,315.0,0.315
2001,All ages,Physician offices,364.0,0.364
2002,All ages,Physician offices,359.0,0.359
2003,All ages,Physician offices,332.0,0.332
2004,All ages,Physician offices,327.0,0.327
2005,All ages,Physician offices,347.0,0.347
2006,All ages,Physician offices,317.0,0.317
2007,All ages,Physician offices,335.0,0.335
2008,All ages,Physician offices,324.0,0.324
2009,All ages,Physician offices,351.0,0.351
2010,All ages,Physician offices,336.0,0.336
2011,All ages,Physician offices,333.0,0.333
2012,All ages,Physician offices,315.0,0.315
2013,All ages,Physician offices,304.0,0.304
2014,All ages,Physician offices,289.0,0.289
2015,All ages,Physician offices,293.0,0.293
2016,All ages,Physician offices,286.0,0.286
2018,All ages,Physician offices,269.0,0.269
2000,All ages,Physician offices,239.0,0.239
2001,All ages,Physician offices,242.0,0.242
2002,All ages,Physician offices,301.0,0.301
2003,All ages,Physician offices,261.0,0.261
2004,All ages,Physician offices,298.0,0.298
2005,All ages,Physician offices,270.0,0.27
2006,All ages,Physician offices,251.0,0.251
2007,All ages,Physician offices,339.0,0.339
2008,All ages,Physician offices,296.0,0.296
2009,All ages,Physician offices,314.0,0.314
2010,All ages,Physician offices,316.0,0.316
2011,All ages,Physician offices,277.0,0.277
2012,All ages,Physician offices,229.0,0.229
2013,All ages,Physician offices,243.0,0.243
2014,All ages,Physician offices,206.0,0.206
2015,All ages,Physician offices,326.0,0.326
2016,All ages,Physician offices,227.0,0.227
2018,All ages,Physician offices,172.0,0.172
2000,All ages,Physician offices,300.0,0.3
2001,All ages,Physician offices,340.0,0.34
2002,All ages,Physician offices,341.0,0.341
2003,All ages,Physician offices,317.0,0.317
2004,All ages,Physician offices,316.0,0.316
2005,All ages,Physician offices,331.0,0.331
2006,All ages,Physician offices,307.0,0.307
2007,All ages,Physician offices,336.0,0.336
2008,All ages,Physician offices,320.0,0.32
2009,All ages,Physician offices,344.0,0.344
2010,All ages,Physician offices,332.0,0.332
2011,All ages,Physician offices,322.0,0.322
2012,All ages,Physician offices,301.0,0.301
2013,All ages,Physician offices,297.0,0.297
2014,All ages,Physician offices,282.0,0.282
2015,All ages,Physician offices,313.0,0.313
2016,All ages,Physician offices,278.0,0.278
2018,All ages,Physician offices,267.0,0.267
2000,Under 18 years,Physician offices,226.0,0.226
2001,Under 18 years,Physician offices,239.0,0.239
2002,Under 18 years,Physician offices,260.0,0.26
2003,Under 18 years,Physician offices,232.0,0.232
2004,Under 18 years,Physician offices,235.0,0.235
2005,Under 18 years,Physician offices,253.0,0.253
2006,Under 18 years,Physician offices,247.0,0.247
2007,Under 18 years,Physician offices,264.0,0.264
2008,Under 18 years,Physician offices,233.0,0.233
2009,Under 18 years,Physician offices,247.0,0.247
2010,Under 18 years,Physician offices,257.0,0.257
2011,Under 18 years,Physician offices,280.0,0.28
2012,Under 18 years,Physician offices,232.0,0.232
2013,Under 18 years,Physician offices,206.0,0.206
2014,Under 18 years,Physician offices,189.0,0.189
2015,Under 18 years,Physician offices,203.0,0.203
2016,Under 18 years,Physician offices,241.0,0.241
2018,Under 18 years,Physician offices,176.0,0.176
2000,18-44 years,Physician offices,224.0,0.224
2001,18-44 years,Physician offices,244.0,0.244
2002,18-44 years,Physician offices,239.0,0.239
2003,18-44 years,Physician offices,229.0,0.229
2004,18-44 years,Physician offices,219.0,0.219
2005,18-44 years,Physician offices,224.0,0.224
2006,18-44 years,Physician offices,212.0,0.212
2007,18-44 years,Physician offices,233.0,0.233
2008,18-44 years,Physician offices,221.0,0.221
2009,18-44 years,Physician offices,234.0,0.234
2010,18-44 years,Physician offices,237.0,0.237
2011,18-44 years,Physician offices,216.0,0.216
2012,18-44 years,Physician offices,211.0,0.211
2013,18-44 years,Physician offices,201.0,0.201
2014,18-44 years,Physician offices,185.0,0.185
2015,18-44 years,Physician offices,204.0,0.204
2016,18-44 years,Physician offices,190.0,0.19
2018,18-44 years,Physician offices,173.0,0.173
2000,45-64 years,Physician offices,358.0,0.358
2001,45-64 years,Physician offices,406.0,0.406
2002,45-64 years,Physician offices,404.0,0.404
2003,45-64 years,Physician offices,377.0,0.377
2004,45-64 years,Physician offices,376.0,0.376
2005,45-64 years,Physician offices,391.0,0.391
2006,45-64 years,Physician offices,345.0,0.345
2007,45-64 years,Physician offices,373.0,0.373
2008,45-64 years,Physician offices,367.0,0.367
2009,45-64 years,Physician offices,401.0,0.401
2010,45-64 years,Physician offices,371.0,0.371
2011,45-64 years,Physician offices,349.0,0.349
2012,45-64 years,Physician offices,335.0,0.335
2013,45-64 years,Physician offices,343.0,0.343
2014,45-64 years,Physician offices,330.0,0.33
2015,45-64 years,Physician offices,366.0,0.366
2016,45-64 years,Physician offices,302.0,0.302
2018,45-64 years,Physician offices,302.0,0.302
2000,45-54 years,Physician offices,323.0,0.323
2001,45-54 years,Physician offices,364.0,0.364
2002,45-54 years,Physician offices,367.0,0.367
2003,45-54 years,Physician offices,343.0,0.343
2004,45-54 years,Physician offices,327.0,0.327
2005,45-54 years,Physician offices,344.0,0.344
2006,45-54 years,Physician offices,311.0,0.311
2007,45-54 years,Physician offices,325.0,0.325
2008,45-54 years,Physician offices,313.0,0.313
2009,45-54 years,Physician offices,358.0,0.358
2010,45-54 years,Physician offices,320.0,0.32
2011,45-54 years,Physician offices,309.0,0.309
2012,45-54 years,Physician offices,297.0,0.297
2013,45-54 years,Physician offices,303.0,0.303
2014,45-54 years,Physician offices,290.0,0.29
2015,45-54 years,Physician offices,333.0,0.333
2016,45-54 years,Physician offices,269.0,0.269
2018,45-54 years,Physician offices,272.0,0.272
2000,55-64 years,Physician offices,412.0,0.412
2001,55-64 years,Physician offices,470.0,0.47
2002,55-64 years,Physician offices,459.0,0.459
2003,55-64 years,Physician offices,428.0,0.428
2004,55-64 years,Physician offices,446.0,0.446
2005,55-64 years,Physician offices,458.0,0.458
2006,55-64 years,Physician offices,392.0,0.392
2007,55-64 years,Physician offices,438.0,0.438
2008,55-64 years,Physician offices,437.0,0.437
2009,55-64 years,Physician offices,457.0,0.457
2010,55-64 years,Physician offices,434.0,0.434
2011,55-64 years,Physician offices,395.0,0.395
2012,55-64 years,Physician offices,380.0,0.38
2013,55-64 years,Physician offices,387.0,0.387
2014,55-64 years,Physician offices,374.0,0.374
2015,55-64 years,Physician offices,401.0,0.401
2016,55-64 years,Physician offices,336.0,0.336
2018,55-64 years,Physician offices,332.0,0.332
2000,65 years and over,Physician offices,612.0,0.612
2001,65 years and over,Physician offices,742.0,0.742
2002,65 years and over,Physician offices,720.0,0.72
2003,65 years and over,Physician offices,664.0,0.664
2004,65 years and over,Physician offices,675.0,0.675
2005,65 years and over,Physician offices,705.0,0.705
2006,65 years and over,Physician offices,645.0,0.645
2007,65 years and over,Physician offices,712.0,0.712
2008,65 years and over,Physician offices,688.0,0.688
2009,65 years and over,Physician offices,737.0,0.737
2010,65 years and over,Physician offices,666.0,0.666
2011,65 years and over,Physician offices,638.0,0.638
2012,65 years and over,Physician offices,592.0,0.592
2013,65 years and over,Physician offices,611.0,0.611
2014,65 years and over,Physician offices,589.0,0.589
2015,65 years and over,Physician offices,658.0,0.658
2016,65 years and over,Physician offices,498.0,0.498
2018,65 years and over,Physician offices,550.0,0.55
2000,65-74 years,Physician offices,577.0,0.577
2001,65-74 years,Physician offices,680.0,0.68
2002,65-74 years,Physician offices,660.0,0.66
2003,65-74 years,Physician offices,588.0,0.588
2004,65-74 years,Physician offices,623.0,0.623
2005,65-74 years,Physician offices,647.0,0.647
2006,65-74 years,Physician offices,579.0,0.579
2007,65-74 years,Physician offices,669.0,0.669
2008,65-74 years,Physician offices,639.0,0.639
2009,65-74 years,Physician offices,669.0,0.669
2010,65-74 years,Physician offices,624.0,0.624
2011,65-74 years,Physician offices,590.0,0.59
2012,65-74 years,Physician offices,532.0,0.532
2013,65-74 years,Physician offices,566.0,0.566
2014,65-74 years,Physician offices,548.0,0.548
2015,65-74 years,Physician offices,585.0,0.585
2016,65-74 years,Physician offices,465.0,0.465
2018,65-74 years,Physician offices,486.0,0.486
2000,75 years and over,Physician offices,654.0,0.654
2001,75 years and over,Physician offices,814.0,0.814
2002,75 years and over,Physician offices,788.0,0.788
2003,75 years and over,Physician offices,748.0,0.748
2004,75 years and over,Physician offices,734.0,0.734
2005,75 years and over,Physician offices,768.0,0.768
2006,75 years and over,Physician offices,719.0,0.719
2007,75 years and over,Physician offices,761.0,0.761
2008,75 years and over,Physician offices,743.0,0.743
2009,75 years and over,Physician offices,817.0,0.817
2010,75 years and over,Physician offices,715.0,0.715
2011,75 years and over,Physician offices,698.0,0.698
2012,75 years and over,Physician offices,670.0,0.67
2013,75 years and over,Physician offices,672.0,0.672
2014,75 years and over,Physician offices,645.0,0.645
2015,75 years and over,Physician offices,762.0,0.762
2016,75 years and over,Physician offices,547.0,0.547
2018,75 years and over,Physician offices,644.0,0.644
2000,All ages,Physician offices,251.0,0.251
2001,All ages,Physician offices,281.0,0.281
2002,All ages,Physician offices,283.0,0.283
2003,All ages,Physician offices,264.0,0.264
2004,All ages,Physician offices,266.0,0.266
2005,All ages,Physician offices,283.0,0.283
2006,All ages,Physician offices,256.0,0.256
2007,All ages,Physician offices,285.0,0.285
2008,All ages,Physician offices,262.0,0.262
2009,All ages,Physician offices,289.0,0.289
2010,All ages,Physician offices,283.0,0.283
2011,All ages,Physician offices,281.0,0.281
2012,All ages,Physician offices,258.0,0.258
2013,All ages,Physician offices,256.0,0.256
2014,All ages,Physician offices,245.0,0.245
2015,All ages,Physician offices,262.0,0.262
2016,All ages,Physician offices,239.0,0.239
2018,All ages,Physician offices,224.0,0.224
2000,All ages,Physician offices,348.0,0.348
2001,All ages,Physician offices,395.0,0.395
2002,All ages,Physician offices,396.0,0.396
2003,All ages,Physician offices,368.0,0.368
2004,All ages,Physician offices,363.0,0.363
2005,All ages,Physician offices,377.0,0.377
2006,All ages,Physician offices,355.0,0.355
2007,All ages,Physician offices,384.0,0.384
2008,All ages,Physician offices,376.0,0.376
2009,All ages,Physician offices,397.0,0.397
2010,All ages,Physician offices,379.0,0.379
2011,All ages,Physician offices,361.0,0.361
2012,All ages,Physician offices,342.0,0.342
2013,All ages,Physician offices,336.0,0.336
2014,All ages,Physician offices,317.0,0.317
2015,All ages,Physician offices,362.0,0.362
2016,All ages,Physician offices,315.0,0.315
2018,All ages,Physician offices,308.0,0.308
2000,Under 18 years,Physician offices,231.0,0.231
2001,Under 18 years,Physician offices,238.0,0.238
2002,Under 18 years,Physician offices,262.0,0.262
2003,Under 18 years,Physician offices,241.0,0.241
2004,Under 18 years,Physician offices,239.0,0.239
2005,Under 18 years,Physician offices,265.0,0.265
2006,Under 18 years,Physician offices,242.0,0.242
2007,Under 18 years,Physician offices,268.0,0.268
2008,Under 18 years,Physician offices,233.0,0.233
2009,Under 18 years,Physician offices,257.0,0.257
2010,Under 18 years,Physician offices,262.0,0.262
2011,Under 18 years,Physician offices,294.0,0.294
2012,Under 18 years,Physician offices,236.0,0.236
2013,Under 18 years,Physician offices,206.0,0.206
2014,Under 18 years,Physician offices,197.0,0.197
2015,Under 18 years,Physician offices,203.0,0.203
2016,Under 18 years,Physician offices,248.0,0.248
2018,Under 18 years,Physician offices,179.0,0.179
2000,18-44 years,Physician offices,148.0,0.148
2001,18-44 years,Physician offices,163.0,0.163
2002,18-44 years,Physician offices,161.0,0.161
2003,18-44 years,Physician offices,147.0,0.147
2004,18-44 years,Physician offices,136.0,0.136
2005,18-44 years,Physician offices,158.0,0.158
2006,18-44 years,Physician offices,139.0,0.139
2007,18-44 years,Physician offices,151.0,0.151
2008,18-44 years,Physician offices,131.0,0.131
2009,18-44 years,Physician offices,145.0,0.145
2010,18-44 years,Physician offices,151.0,0.151
2011,18-44 years,Physician offices,145.0,0.145
2012,18-44 years,Physician offices,140.0,0.14
2013,18-44 years,Physician offices,137.0,0.137
2014,18-44 years,Physician offices,129.0,0.129
2015,18-44 years,Physician offices,122.0,0.122
2016,18-44 years,Physician offices,118.0,0.118
2018,18-44 years,Physician offices,103.0,0.103
2000,45-54 years,Physician offices,260.0,0.26
2001,45-54 years,Physician offices,294.0,0.294
2002,45-54 years,Physician offices,298.0,0.298
2003,45-54 years,Physician offices,280.0,0.28
2004,45-54 years,Physician offices,280.0,0.28
2005,45-54 years,Physician offices,278.0,0.278
2006,45-54 years,Physician offices,260.0,0.26
2007,45-54 years,Physician offices,262.0,0.262
2008,45-54 years,Physician offices,255.0,0.255
2009,45-54 years,Physician offices,296.0,0.296
2010,45-54 years,Physician offices,265.0,0.265
2011,45-54 years,Physician offices,250.0,0.25
2012,45-54 years,Physician offices,251.0,0.251
2013,45-54 years,Physician offices,263.0,0.263
2014,45-54 years,Physician offices,245.0,0.245
2015,45-54 years,Physician offices,251.0,0.251
2016,45-54 years,Physician offices,220.0,0.22
2018,45-54 years,Physician offices,234.0,0.234
2000,55-64 years,Physician offices,367.0,0.367
2001,55-64 years,Physician offices,399.0,0.399
2002,55-64 years,Physician offices,393.0,0.393
2003,55-64 years,Physician offices,365.0,0.365
2004,55-64 years,Physician offices,398.0,0.398
2005,55-64 years,Physician offices,411.0,0.411
2006,55-64 years,Physician offices,344.0,0.344
2007,55-64 years,Physician offices,396.0,0.396
2008,55-64 years,Physician offices,373.0,0.373
2009,55-64 years,Physician offices,403.0,0.403
2010,55-64 years,Physician offices,396.0,0.396
2011,55-64 years,Physician offices,351.0,0.351
2012,55-64 years,Physician offices,343.0,0.343
2013,55-64 years,Physician offices,359.0,0.359
2014,55-64 years,Physician offices,340.0,0.34
2015,55-64 years,Physician offices,378.0,0.378
2016,55-64 years,Physician offices,310.0,0.31
2018,55-64 years,Physician offices,277.0,0.277
2000,65-74 years,Physician offices,539.0,0.539
2001,65-74 years,Physician offices,654.0,0.654
2002,65-74 years,Physician offices,631.0,0.631
2003,65-74 years,Physician offices,558.0,0.558
2004,65-74 years,Physician offices,604.0,0.604
2005,65-74 years,Physician offices,619.0,0.619
2006,65-74 years,Physician offices,554.0,0.554
2007,65-74 years,Physician offices,661.0,0.661
2008,65-74 years,Physician offices,604.0,0.604
2009,65-74 years,Physician offices,654.0,0.654
2010,65-74 years,Physician offices,597.0,0.597
2011,65-74 years,Physician offices,566.0,0.566
2012,65-74 years,Physician offices,505.0,0.505
2013,65-74 years,Physician offices,530.0,0.53
2014,65-74 years,Physician offices,510.0,0.51
2015,65-74 years,Physician offices,560.0,0.56
2016,65-74 years,Physician offices,462.0,0.462
2018,65-74 years,Physician offices,459.0,0.459
2000,75 years and over,Physician offices,670.0,0.67
2001,75 years and over,Physician offices,840.0,0.84
2002,75 years and over,Physician offices,762.0,0.762
2003,75 years and over,Physician offices,777.0,0.777
2004,75 years and over,Physician offices,771.0,0.771
2005,75 years and over,Physician offices,741.0,0.741
2006,75 years and over,Physician offices,709.0,0.709
2007,75 years and over,Physician offices,801.0,0.801
2008,75 years and over,Physician offices,768.0,0.768
2009,75 years and over,Physician offices,807.0,0.807
2010,75 years and over,Physician offices,760.0,0.76
2011,75 years and over,Physician offices,758.0,0.758
2012,75 years and over,Physician offices,685.0,0.685
2013,75 years and over,Physician offices,679.0,0.679
2014,75 years and over,Physician offices,671.0,0.671
2015,75 years and over,Physician offices,799.0,0.799
2016,75 years and over,Physician offices,542.0,0.542
2018,75 years and over,Physician offices,681.0,0.681
2000,Under 18 years,Physician offices,221.0,0.221
2001,Under 18 years,Physician offices,240.0,0.24
2002,Under 18 years,Physician offices,258.0,0.258
2003,Under 18 years,Physician offices,223.0,0.223
2004,Under 18 years,Physician offices,230.0,0.23
2005,Under 18 years,Physician offices,240.0,0.24
2006,Under 18 years,Physician offices,252.0,0.252
2007,Under 18 years,Physician offices,261.0,0.261
2008,Under 18 years,Physician offices,232.0,0.232
2009,Under 18 years,Physician offices,237.0,0.237
2010,Under 18 years,Physician offices,252.0,0.252
2011,Under 18 years,Physician offices,265.0,0.265
2012,Under 18 years,Physician offices,229.0,0.229
2013,Under 18 years,Physician offices,206.0,0.206
2014,Under 18 years,Physician offices,181.0,0.181
2015,Under 18 years,Physician offices,204.0,0.204
2016,Under 18 years,Physician offices,234.0,0.234
2018,Under 18 years,Physician offices,172.0,0.172
2000,18-44 years,Physician offices,298.0,0.298
2001,18-44 years,Physician offices,323.0,0.323
2002,18-44 years,Physician offices,316.0,0.316
2003,18-44 years,Physician offices,309.0,0.309
2004,18-44 years,Physician offices,300.0,0.3
2005,18-44 years,Physician offices,290.0,0.29
2006,18-44 years,Physician offices,284.0,0.284
2007,18-44 years,Physician offices,315.0,0.315
2008,18-44 years,Physician offices,311.0,0.311
2009,18-44 years,Physician offices,322.0,0.322
2010,18-44 years,Physician offices,323.0,0.323
2011,18-44 years,Physician offices,286.0,0.286
2012,18-44 years,Physician offices,281.0,0.281
2013,18-44 years,Physician offices,263.0,0.263
2014,18-44 years,Physician offices,240.0,0.24
2015,18-44 years,Physician offices,285.0,0.285
2016,18-44 years,Physician offices,262.0,0.262
2018,18-44 years,Physician offices,243.0,0.243
2000,45-54 years,Physician offices,384.0,0.384
2001,45-54 years,Physician offices,431.0,0.431
2002,45-54 years,Physician offices,433.0,0.433
2003,45-54 years,Physician offices,403.0,0.403
2004,45-54 years,Physician offices,373.0,0.373
2005,45-54 years,Physician offices,408.0,0.408
2006,45-54 years,Physician offices,359.0,0.359
2007,45-54 years,Physician offices,386.0,0.386
2008,45-54 years,Physician offices,369.0,0.369
2009,45-54 years,Physician offices,417.0,0.417
2010,45-54 years,Physician offices,372.0,0.372
2011,45-54 years,Physician offices,364.0,0.364
2012,45-54 years,Physician offices,340.0,0.34
2013,45-54 years,Physician offices,341.0,0.341
2014,45-54 years,Physician offices,333.0,0.333
2015,45-54 years,Physician offices,411.0,0.411
2016,45-54 years,Physician offices,316.0,0.316
2018,45-54 years,Physician offices,308.0,0.308
2000,55-64 years,Physician offices,453.0,0.453
2001,55-64 years,Physician offices,535.0,0.535
2002,55-64 years,Physician offices,521.0,0.521
2003,55-64 years,Physician offices,486.0,0.486
2004,55-64 years,Physician offices,490.0,0.49
2005,55-64 years,Physician offices,501.0,0.501
2006,55-64 years,Physician offices,436.0,0.436
2007,55-64 years,Physician offices,477.0,0.477
2008,55-64 years,Physician offices,496.0,0.496
2009,55-64 years,Physician offices,507.0,0.507
2010,55-64 years,Physician offices,469.0,0.469
2011,55-64 years,Physician offices,436.0,0.436
2012,55-64 years,Physician offices,413.0,0.413
2013,55-64 years,Physician offices,413.0,0.413
2014,55-64 years,Physician offices,406.0,0.406
2015,55-64 years,Physician offices,424.0,0.424
2016,55-64 years,Physician offices,359.0,0.359
2018,55-64 years,Physician offices,383.0,0.383
2000,65-74 years,Physician offices,609.0,0.609
2001,65-74 years,Physician offices,702.0,0.702
2002,65-74 years,Physician offices,684.0,0.684
2003,65-74 years,Physician offices,613.0,0.613
2004,65-74 years,Physician offices,638.0,0.638
2005,65-74 years,Physician offices,671.0,0.671
2006,65-74 years,Physician offices,600.0,0.6
2007,65-74 years,Physician offices,676.0,0.676
2008,65-74 years,Physician offices,669.0,0.669
2009,65-74 years,Physician offices,681.0,0.681
2010,65-74 years,Physician offices,647.0,0.647
2011,65-74 years,Physician offices,611.0,0.611
2012,65-74 years,Physician offices,556.0,0.556
2013,65-74 years,Physician offices,598.0,0.598
2014,65-74 years,Physician offices,581.0,0.581
2015,65-74 years,Physician offices,607.0,0.607
2016,65-74 years,Physician offices,468.0,0.468
2018,65-74 years,Physician offices,509.0,0.509
2000,75 years and over,Physician offices,645.0,0.645
2001,75 years and over,Physician offices,798.0,0.798
2002,75 years and over,Physician offices,804.0,0.804
2003,75 years and over,Physician offices,730.0,0.73
2004,75 years and over,Physician offices,710.0,0.71
2005,75 years and over,Physician offices,785.0,0.785
2006,75 years and over,Physician offices,725.0,0.725
2007,75 years and over,Physician offices,735.0,0.735
2008,75 years and over,Physician offices,728.0,0.728
2009,75 years and over,Physician offices,823.0,0.823
2010,75 years and over,Physician offices,685.0,0.685
2011,75 years and over,Physician offices,657.0,0.657
2012,75 years and over,Physician offices,660.0,0.66
2013,75 years and over,Physician offices,667.0,0.667
2014,75 years and over,Physician offices,627.0,0.627
2015,75 years and over,Physician offices,736.0,0.736
2016,75 years and over,Physician offices,550.0,0.55
2018,75 years and over,Physician offices,617.0,0.617
2000,All ages,Physician offices,316.0,0.316
2001,All ages,Physician offices,369.0,0.369
2002,All ages,Physician offices,364.0,0.364
2003,All ages,Physician offices,337.0,0.337
2004,All ages,Physician offices,334.0,0.334
2005,All ages,Physician offices,355.0,0.355
2006,All ages,Physician offices,324.0,0.324
2007,All ages,Physician offices,345.0,0.345
2008,All ages,Physician offices,336.0,0.336
2009,All ages,Physician offices,365.0,0.365
2010,All ages,Physician offices,349.0,0.349
2011,All ages,Physician offices,345.0,0.345
2012,All ages,Physician offices,330.0,0.33
2013,All ages,Physician offices,323.0,0.323
2014,All ages,Physician offices,310.0,0.31
2015,All ages,Physician offices,315.0,0.315
2016,All ages,Physician offices,302.0,0.302
2018,All ages,Physician offices,293.0,0.293
2000,All ages,Physician offices,214.0,0.214
2001,All ages,Physician offices,217.0,0.217
2002,All ages,Physician offices,269.0,0.269
2003,All ages,Physician offices,236.0,0.236
